"","rules","support","confidence","lift","count"
"76","{4=UnfallArt_5,7=Fahrrad_1} => {9=StrassenZustand_0}",0.166495751538236,0.824746008708273,1.55131337984091,2273
"77","{4=UnfallArt_5,7=Fahrrad_1} => {6=Lichverhaeltniss_0}",0.166642250219748,0.825471698113208,1.10516226563122,2275
"78","{4=UnfallArt_5,7=Fahrrad_1} => {3=Unfallaktegorie_3}",0.173381189569294,0.858853410740203,1.02536657310234,2367
"79","{4=UnfallArt_5,7=PKW_1} => {3=Unfallaktegorie_3}",0.143641957222385,0.818447412353923,0.977126722645891,1961
"80","{4=UnfallArt_5,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.196601230588925,0.858056265984655,1.14878730442508,2684
"81","{4=UnfallArt_5,9=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.18912979783182,0.825447570332481,0.985484060356714,2582
"82","{4=UnfallArt_5,6=Lichverhaeltniss_0} => {3=Unfallaktegorie_3}",0.252929973630237,0.839941620043785,1.00278819386425,3453
"83","{7=Fahrrad_1,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.239305596249634,0.847251037344398,1.1343209926278,3267
"84","{7=Fahrrad_1,9=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.246191034280691,0.871628630705394,1.04061863282816,3361
"85","{6=Lichverhaeltniss_0,7=Fahrrad_1} => {3=Unfallaktegorie_3}",0.262086141224729,0.859889449651526,1.02660347762507,3578
"86","{3=Unfallaktegorie_3,7=Fahrrad_1} => {6=Lichverhaeltniss_0}",0.262086141224729,0.804225668689593,1.0767175472149,3578
"87","{7=PKW_1,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.177629651333138,0.803778588001326,1.07611898434776,2425
"88","{6=Lichverhaeltniss_0,7=PKW_1} => {3=Unfallaktegorie_3}",0.334309991210079,0.84581171237954,1.00979637056454,4564
"89","{6=Lichverhaeltniss_0,9=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.366905947846469,0.834555148283905,0.996357401344283,5009
"90","{3=Unfallaktegorie_3,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.366905947846469,0.834277148567622,1.11695122410956,5009
"91","{4=UnfallArt_2,5=UnfallTyp_6,6=Lichverhaeltniss_0} => {7=PKW_1}",0.100058599472605,0.882428940568475,1.59182345357305,1366
"92","{4=UnfallArt_2,6=Lichverhaeltniss_0,7=PKW_1} => {5=UnfallTyp_6}",0.100058599472605,0.807328605200946,3.58078301436105,1366
"93","{4=UnfallArt_2,5=UnfallTyp_6,7=PKW_1} => {3=Unfallaktegorie_3}",0.121593905654849,0.941043083900227,1.12349105215618,1660
"94","{3=Unfallaktegorie_3,4=UnfallArt_2,5=UnfallTyp_6} => {7=PKW_1}",0.121593905654849,0.893433799784715,1.61167524242348,1660
"95","{3=Unfallaktegorie_3,4=UnfallArt_2,7=PKW_1} => {5=UnfallTyp_6}",0.121593905654849,0.813326800587947,3.60738709604505,1660
"96","{4=UnfallArt_2,5=UnfallTyp_6,6=Lichverhaeltniss_0} => {3=Unfallaktegorie_3}",0.106211544096103,0.936692506459948,1.11829699153399,1450
"97","{4=UnfallArt_2,6=Lichverhaeltniss_0,7=PKW_1} => {3=Unfallaktegorie_3}",0.115953706416642,0.935579196217494,1.11696783443474,1583
"98","{3=Unfallaktegorie_3,4=UnfallArt_2,6=Lichverhaeltniss_0} => {7=PKW_1}",0.115953706416642,0.840233545647558,1.51570670787268,1583
"99","{4=UnfallArt_5,5=UnfallTyp_3,6=Lichverhaeltniss_0} => {3=Unfallaktegorie_3}",0.119982420158219,0.836567926455567,0.998760413814727,1638
"100","{3=Unfallaktegorie_3,5=UnfallTyp_3,6=Lichverhaeltniss_0} => {4=UnfallArt_5}",0.119982420158219,0.91,2.37403401490541,1638
"101","{5=UnfallTyp_6,6=Lichverhaeltniss_0,7=PKW_1} => {3=Unfallaktegorie_3}",0.121447406973337,0.913498622589532,1.09060631356295,1658
"102","{6=Lichverhaeltniss_0,7=PKW_1,8=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.141883973044243,0.908110642287857,1.08417372002744,1937
"103","{4=UnfallArt_5,5=UnfallTyp_2,6=Lichverhaeltniss_0} => {3=Unfallaktegorie_3}",0.111192499267507,0.841930116472546,1.00516221688528,1518
"104","{3=Unfallaktegorie_3,4=UnfallArt_5,5=UnfallTyp_2} => {6=Lichverhaeltniss_0}",0.111192499267507,0.809168443496802,1.08333505841113,1518
"105","{5=UnfallTyp_2,6=Lichverhaeltniss_0,9=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.111265748608263,0.843888888888889,1.00750075304863,1519
"106","{3=Unfallaktegorie_3,5=UnfallTyp_2,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.111265748608263,0.850980392156863,1.13931394662406,1519
"107","{4=UnfallArt_5,7=Fahrrad_1,8=PKW_1} => {9=StrassenZustand_0}",0.144301201289188,0.859136502398604,1.61600048646263,1970
"108","{4=UnfallArt_5,8=PKW_1,9=StrassenZustand_0} => {7=Fahrrad_1}",0.144301201289188,1,2.62942989214176,1970
"109","{4=UnfallArt_5,7=Fahrrad_1,9=StrassenZustand_0} => {8=PKW_1}",0.144301201289188,0.866695996480422,3.29861548479251,1970
"110","{4=UnfallArt_5,7=Fahrrad_1,8=PKW_1} => {6=Lichverhaeltniss_0}",0.137415763258131,0.818142171827301,1.09534931154127,1876
"111","{4=UnfallArt_5,6=Lichverhaeltniss_0,8=PKW_1} => {7=Fahrrad_1}",0.137415763258131,1,2.62942989214176,1876
"112","{4=UnfallArt_5,6=Lichverhaeltniss_0,7=Fahrrad_1} => {8=PKW_1}",0.137415763258131,0.824615384615385,3.1384581072677,1876
"113","{4=UnfallArt_5,7=Fahrrad_1,8=PKW_1} => {3=Unfallaktegorie_3}",0.146278933489599,0.870911469690362,1.03976242975189,1997
"114","{3=Unfallaktegorie_3,4=UnfallArt_5,8=PKW_1} => {7=Fahrrad_1}",0.146278933489599,1,2.62942989214176,1997
"115","{3=Unfallaktegorie_3,4=UnfallArt_5,7=Fahrrad_1} => {8=PKW_1}",0.146278933489599,0.84368398817068,3.21103256384336,1997
"116","{4=UnfallArt_5,8=PKW_1,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.124230881922063,0.860913705583756,1.15261291640967,1696
"117","{4=UnfallArt_5,6=Lichverhaeltniss_0,8=PKW_1} => {9=StrassenZustand_0}",0.124230881922063,0.904051172707889,1.70048313720145,1696
"118","{4=UnfallArt_5,8=PKW_1,9=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.125695868737181,0.871065989847716,1.03994690803682,1716
"119","{3=Unfallaktegorie_3,4=UnfallArt_5,8=PKW_1} => {9=StrassenZustand_0}",0.125695868737181,0.8592889334001,1.61628720291791,1716
"120","{4=UnfallArt_5,6=Lichverhaeltniss_0,8=PKW_1} => {3=Unfallaktegorie_3}",0.119542924113683,0.869936034115139,1.03859787824573,1632
"121","{3=Unfallaktegorie_3,4=UnfallArt_5,8=PKW_1} => {6=Lichverhaeltniss_0}",0.119542924113683,0.817225838758137,1.0941225017874,1632
"122","{7=Fahrrad_1,8=PKW_1,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.186126574860826,0.844466600199402,1.13059311816438,2541
"123","{6=Lichverhaeltniss_0,7=Fahrrad_1,8=PKW_1} => {9=StrassenZustand_0}",0.186126574860826,0.879847645429363,1.65495729614242,2541
"124","{6=Lichverhaeltniss_0,8=PKW_1,9=StrassenZustand_0} => {7=Fahrrad_1}",0.186126574860826,1,2.62942989214176,2541
