,0,1,2,3,4,5,6,7,8,9,10,11
12432,Monat_12,Stunde_7,Wochentag_6,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_2,Fahrrad_1,PKW_1,StrassenZustand_1,,
12433,Monat_12,Stunde_6,Wochentag_1,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_4,Lichverhaeltniss_2,PKW_1,Fuss_1,StrassenZustand_0,,
12434,Monat_12,Stunde_13,Wochentag_6,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_0,PKW_1,StrassenZustand_1,,,
12435,Monat_12,Stunde_6,Wochentag_6,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_4,Lichverhaeltniss_2,Fuss_1,Sonstiges_1,StrassenZustand_1,,
12436,Monat_12,Stunde_9,Wochentag_1,Unfallaktegorie_3,UnfallArt_0,UnfallTyp_7,Lichverhaeltniss_0,Fahrrad_1,StrassenZustand_1,,,
12437,Monat_12,Stunde_13,Wochentag_6,Unfallaktegorie_2,UnfallArt_0,UnfallTyp_7,Lichverhaeltniss_0,PKW_1,Sonstiges_1,StrassenZustand_1,,
12438,Monat_12,Stunde_15,Wochentag_6,Unfallaktegorie_3,UnfallArt_0,UnfallTyp_7,Lichverhaeltniss_1,PKW_1,Fuss_1,StrassenZustand_1,,
12439,Monat_12,Stunde_2,Wochentag_6,Unfallaktegorie_2,UnfallArt_1,UnfallTyp_5,Lichverhaeltniss_2,Fahrrad_1,PKW_1,StrassenZustand_0,,
12440,Monat_12,Stunde_16,Wochentag_5,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_2,PKW_1,StrassenZustand_0,,,
12441,Monat_12,Stunde_10,Wochentag_1,Unfallaktegorie_3,UnfallArt_1,UnfallTyp_7,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
12442,Monat_12,Stunde_7,Wochentag_5,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_4,Lichverhaeltniss_2,PKW_1,Fuss_1,StrassenZustand_0,,
12443,Monat_12,Stunde_22,Wochentag_5,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_2,PKW_1,StrassenZustand_1,,,
12444,Monat_12,Stunde_11,Wochentag_1,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_0,PKW_1,KraftRad_1,StrassenZustand_0,,
12445,Monat_12,Stunde_21,Wochentag_5,Unfallaktegorie_3,UnfallArt_0,UnfallTyp_1,Lichverhaeltniss_2,PKW_1,StrassenZustand_1,,,
12446,Monat_12,Stunde_13,Wochentag_1,Unfallaktegorie_3,UnfallArt_1,UnfallTyp_5,Lichverhaeltniss_0,Fahrrad_1,PKW_1,Sonstiges_1,StrassenZustand_0,
12447,Monat_12,Stunde_19,Wochentag_5,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_2,Fahrrad_1,PKW_1,StrassenZustand_1,,
