,X,Y,OBJECTID_1,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY
206141,13.548556614410376,52.42761049215642,204142,204142,11,0,9,9,2018,8,16,2,2,5,2,0,1,1,0,0,0,0,0,809193.5638,5818336.3451
206142,13.372661830303205,52.460312363435186,204143,204143,11,0,7,7,2018,8,16,2,2,5,3,0,0,1,0,0,0,0,0,797022.6666,5821232.1864
206143,13.369630013524375,52.597511364348875,204144,204144,11,0,3,3,2018,8,14,6,3,5,3,0,1,1,0,0,0,0,0,795892.007,5836469.192000001
206144,13.438761549656622,52.555360846993466,204145,204145,11,0,3,3,2018,8,12,2,2,6,4,0,1,0,1,0,0,0,0,800859.6590000001,5832070.5867
206145,13.376453289435785,52.54311770109682,204146,204146,11,0,1,1,2018,8,20,1,3,5,2,1,1,1,0,0,0,0,0,796721.2436,5830451.4614
206146,13.3801365599671,52.44144869705738,204147,204147,11,0,7,7,2018,8,13,2,2,1,5,0,0,1,0,0,0,1,0,797657.4759,5819166.3313
206147,13.376839588364149,52.489427215252526,204148,204148,11,0,2,2,2018,8,15,7,3,5,2,0,1,1,0,0,0,0,0,797109.8707,5824485.448
206148,13.332571995466598,52.458495279080886,204149,204149,11,0,6,6,2018,8,13,2,2,0,6,0,0,1,0,1,0,0,0,794312.957,5820865.9457
206149,13.418270575580626,52.44467731577751,204150,204150,11,0,8,8,2018,8,16,2,3,6,7,0,1,1,1,1,0,0,0,800225.6197,5819683.1424
206150,13.480795971182038,52.48307049340311,204151,204151,11,0,9,9,2018,8,9,6,3,2,6,0,0,1,0,0,0,0,0,804206.8942,5824212.2675
206151,13.350060818727682,52.48948301597716,204152,204152,11,0,7,7,2018,8,21,2,3,0,1,2,0,0,0,1,0,0,0,795292.6013,5824381.6773
206152,13.583631411933908,52.54916318809754,204153,204153,11,0,10,10,2018,8,12,6,3,2,6,0,0,1,0,0,0,0,0,810717.396,5831996.5295
206153,13.261425217453507,52.573664273173605,204154,204154,11,0,12,12,2018,8,17,2,3,2,6,0,0,1,0,0,0,0,0,788725.3324,5833379.4838
206154,13.513753710872164,52.566390411436956,204155,204155,11,0,11,11,2018,8,16,2,3,0,7,0,0,0,1,0,0,1,0,805863.0664,5833612.2045
206155,13.367989385286679,52.5461923660266,204156,204156,11,0,1,1,2018,8,10,2,3,2,7,0,0,1,0,0,0,0,0,796126.964,5830758.3955
206156,13.326122490578596,52.53831611517093,204157,204157,11,0,4,4,2018,8,12,2,3,2,6,0,0,1,0,0,0,0,0,793342.5939,5829711.7504
206157,13.25612566841858,52.438858824584415,204158,204158,11,0,6,6,2018,8,12,2,2,1,5,0,0,1,0,1,0,0,0,789251.2024,5818374.259
206158,13.305905606868821,52.52343751023653,204159,204159,11,0,4,4,2018,8,14,7,3,6,4,0,0,1,1,0,0,0,0,792071.2464,5827975.8945
206159,13.453219635913856,52.48947262315637,204160,204160,11,0,9,9,2018,8,11,2,2,6,4,0,0,1,1,0,0,0,0,802291.7253,5824807.882999999
206160,13.33021035872062,52.49505972997074,204161,204161,11,0,4,4,2018,8,7,6,3,2,6,0,0,1,0,1,0,0,0,793908.5385,5824920.4447
206161,13.516535425896132,52.50557722742773,204162,204162,11,0,11,11,2018,8,11,2,3,0,1,0,0,0,0,1,0,0,0,806475.2408,5826865.0646
206162,13.296650192631295,52.50139862998501,204163,204163,11,0,4,4,2018,8,10,2,2,5,3,0,0,1,0,0,0,0,0,791589.7936,5825488.7896
206163,13.33399203250478,52.507449420030746,204164,204164,11,0,4,4,2018,8,16,1,3,2,6,0,0,1,0,1,0,0,0,794082.2868,5826312.9737
206164,13.358193521218068,52.5363248166065,204165,204165,11,0,1,1,2018,8,10,2,3,5,7,0,0,1,0,1,0,0,0,795529.5414,5829621.4215
206165,13.406256919297526,52.398486069498084,204166,204166,11,0,7,7,2018,8,16,1,3,5,2,0,1,1,0,0,0,0,0,799723.2209999999,5814499.242000001
206166,13.478355451574373,52.446307480407285,204167,204167,11,0,9,9,2018,8,9,2,3,1,5,0,1,1,0,0,0,0,0,804295.0627,5820115.9927
206167,13.423174934162477,52.48649252324703,204168,204168,11,0,2,2,2018,8,10,7,2,5,3,0,1,1,0,0,0,0,0,800273.6209999999,5824351.1523
206168,13.344092870120793,52.47832778860546,204169,204169,11,0,7,7,2018,8,10,2,2,5,3,0,1,1,0,0,0,0,0,794962.3926,5823117.3656
206169,13.399406758606279,52.53272993752483,204170,204170,11,0,1,1,2018,8,10,1,3,1,5,0,1,1,0,0,0,0,0,798347.1877,5829391.6326
206170,13.368375739910595,52.52581209541917,204171,204171,11,0,1,1,2018,8,10,2,3,1,5,0,1,1,0,0,0,1,0,796290.4949,5828494.7416
206171,13.420982247165238,52.41415156058549,204172,204172,11,0,8,8,2018,8,9,2,3,1,5,0,1,1,0,0,0,0,0,800617.6968,5816301.6154
206172,13.295080552860625,52.50684921117285,204173,204173,11,0,4,4,2018,8,13,7,3,5,2,0,0,1,0,0,0,0,0,791447.2222,5826088.2835
206173,13.357302420303972,52.49893254922554,204174,204174,11,0,7,7,2018,8,8,2,3,0,1,0,0,0,0,1,0,0,0,795720.4461,5825461.6544
206174,13.329998115565063,52.46209632496274,204175,204175,11,0,6,6,2018,8,15,6,3,2,6,0,0,1,0,0,0,0,0,794114.1678,5821255.7054
206175,13.388788159908275,52.48982123476792,204176,204176,11,0,2,2,2018,8,1,1,2,0,1,2,1,0,0,0,0,0,0,797917.8898,5824578.53
206176,13.365698367800153,52.5030917600352,204177,204177,11,0,1,1,2018,8,5,1,3,5,2,2,0,1,0,0,0,0,0,796261.974,5825958.406
206177,13.392752819617494,52.412638938002424,204178,204178,11,0,7,7,2018,8,13,1,2,5,3,0,0,1,0,1,0,0,0,798709.3575,5816016.3233
206178,13.445245216576573,52.5816138091415,204179,204179,11,0,3,3,2018,8,16,1,3,5,3,0,0,1,0,0,0,0,0,801118.7625,5835015.5881
206179,13.379036100387864,52.52597872760907,204180,204180,11,0,1,1,2018,8,13,6,3,1,5,0,1,1,0,0,0,0,0,797012.0549,5828557.1297
206180,13.400772138549335,52.5303032033776,204181,204181,11,0,1,1,2018,8,15,6,3,1,5,0,0,1,0,1,0,0,0,798456.2093,5829127.5594
206181,13.428823456227367,52.551350348710955,204182,204182,11,0,3,3,2018,8,19,1,3,5,3,0,1,1,0,0,0,0,0,800213.8154,5831583.3871
206182,13.19381580201,52.53368708945135,204183,204183,11,0,5,5,2018,8,19,4,2,5,3,0,1,1,0,0,0,0,0,784405.4324,5828667.0221
206183,13.309352112033947,52.49208433508007,204184,204184,11,0,4,4,2018,8,18,3,3,5,3,0,1,1,0,0,0,0,0,792513.2709,5824504.9324
206184,13.406556406833449,52.52493375160105,204185,204185,11,0,1,1,2018,8,17,3,3,0,7,0,0,1,0,0,0,0,0,798884.7912,5828554.7245
206185,13.309335891154854,52.5118872558444,204186,204186,11,0,4,4,2018,8,17,3,3,5,2,0,1,1,0,0,0,0,0,792380.5783,5826705.9758
206186,13.412336676716249,52.5326885530188,204187,204187,11,0,3,3,2018,8,7,4,3,5,3,0,1,1,0,0,0,0,0,799223.8644,5829440.628
206187,13.397413732960748,52.488978473965396,204188,204188,11,0,2,2,2018,8,23,3,3,0,1,2,0,0,0,1,0,0,0,798508.8233,5824520.5234
206188,13.583730119715677,52.549187842992794,204189,204189,11,0,10,10,2018,8,12,4,3,3,6,0,0,1,0,0,0,1,0,810723.9091,5831999.6953
206189,13.554450151968995,52.45568566757921,204190,204190,11,0,9,9,2018,8,17,3,3,2,2,0,0,1,0,0,0,0,0,809396.9269,5821481.9032
206190,13.309527916826635,52.51350580137912,204191,204191,11,0,4,4,2018,8,19,3,3,5,3,0,0,1,0,0,0,0,0,792382.8431,5826886.6571
206191,13.438434599724133,52.451999491869294,204192,204192,11,0,8,8,2018,8,16,3,3,0,7,0,0,1,0,0,0,0,0,801544.9972,5820581.0459
206192,13.454209655713768,52.45289349469473,204193,204193,11,0,8,8,2018,8,9,2,3,5,2,0,1,1,0,0,0,0,0,802610.0531,5820746.4499
206193,13.350744301911615,52.59780326925189,204194,204194,11,0,12,12,2018,8,11,4,3,6,7,0,0,1,1,0,0,0,0,794611.8373,5836424.2162
206194,13.514996036892652,52.45548345084959,204195,204195,11,0,9,9,2018,8,16,3,3,5,5,0,1,1,0,0,0,0,0,806719.5423,5821290.9723
206195,13.347371367869934,52.57201141717735,204196,204196,11,0,12,12,2018,8,11,4,3,0,6,0,0,1,0,0,0,1,0,794556.6517,5833543.6614
206196,13.382151677880413,52.50439514272161,204197,204197,11,0,2,2,2018,8,15,3,3,5,3,0,1,1,0,0,0,0,0,797369.1443,5826170.9973
206197,13.517690381772086,52.45619212142182,204198,204198,11,0,9,9,2018,8,15,3,2,5,2,1,1,1,0,0,0,0,0,806897.5463,5821381.1928
206198,13.318749443018355,52.48748712377519,204199,204199,11,0,4,4,2018,8,9,4,3,2,6,0,0,1,0,0,0,0,0,793181.4472,5824032.1044
206199,13.292791845841,52.43261857492478,204200,204200,11,0,6,6,2018,8,15,3,3,5,3,0,1,1,0,0,0,0,0,791783.1524,5817828.2195
206200,13.19558671291334,52.53614695505794,204201,204201,11,0,5,5,2018,8,15,4,2,5,2,0,1,1,0,0,0,0,0,784509.5509,5828947.437000001
206201,13.302336182528386,52.52668754529822,204202,204202,11,0,4,4,2018,8,10,4,3,1,5,0,1,0,0,0,0,1,0,791807.6813,5828322.6855
206202,13.599132204182453,52.52831431711528,204203,204203,11,0,10,10,2018,8,14,3,2,5,3,0,0,1,0,0,0,0,0,811915.5378,5829746.3485
206203,13.384908847337561,52.49003293600605,204204,204204,11,0,2,2,2018,8,16,4,3,1,5,0,1,1,0,0,0,1,0,797653.2581,5824586.0433
206204,13.718440464625948,52.43148368902214,204205,204205,11,0,9,9,2018,8,14,3,3,5,3,0,1,1,0,0,0,0,0,820706.8579,5819508.1725
206205,13.314340227736276,52.506334377320115,204206,204206,11,0,4,4,2018,8,19,1,3,0,6,0,0,1,0,0,0,1,0,792756.8924,5826109.0735
206206,13.349495983229856,52.60455262300586,204207,204207,11,0,12,12,2018,8,14,3,3,2,6,0,0,1,0,0,0,0,0,794482.0204,5837169.3013
206207,13.178385226575642,52.548802829016104,204208,204208,11,0,5,5,2018,8,20,4,2,6,4,2,0,1,1,0,0,0,0,783262.0481,5830286.4648
206208,13.314593623613295,52.41752051178935,204209,204209,11,0,6,6,2018,8,13,1,3,2,6,0,0,1,0,0,0,0,0,793364.657,5816238.4229
206209,13.457776209038508,52.52903196733101,204210,204210,11,0,3,3,2018,8,13,3,3,2,2,0,0,1,0,0,0,0,0,802328.892,5829223.8159
206210,13.583230612400232,52.44348275773546,204211,204211,11,0,9,9,2018,8,15,3,3,5,3,0,0,1,0,0,0,0,0,811437.1876,5820249.4866
206211,13.184125915788696,52.545586595754,204212,204212,11,0,5,5,2018,8,19,1,3,0,1,0,0,0,0,1,0,0,0,783671.804,5829951.5379
206212,13.41792175167094,52.52576425851142,204213,204213,11,0,1,1,2018,8,16,1,3,0,1,0,0,0,0,1,0,0,0,799649.6141,5828694.2143
206213,13.371978174642766,52.519401075554676,204214,204214,11,0,1,1,2018,8,13,3,3,5,2,0,1,1,0,0,0,0,0,796577.9454,5827796.9784
206214,13.273589110679634,52.4333052233467,204215,204215,11,0,6,6,2018,8,8,1,3,5,2,0,0,1,0,1,0,0,0,790474.037,5817827.0941
206215,13.198940614349114,52.53306559796328,204216,204216,11,0,5,5,2018,8,8,1,3,5,3,0,1,0,0,0,0,1,0,784756.8372,5828618.1702
206216,13.424041375423686,52.501704517191236,204217,204217,11,0,2,2,2018,8,16,7,3,2,6,0,0,1,0,0,0,0,1,800228.6392,5826045.5158
206217,13.544087568635414,52.428056442971496,204218,204218,11,0,9,9,2018,8,13,3,2,5,3,0,0,1,0,1,0,0,0,808886.8171,5818366.7732
